Time [s],Channel 0
4.591159200,0
4.591235800,1
4.594167320,0
4.819300360,1
4.819463360,0
4.819483040,1
4.819646880,0
4.819666600,1
4.819830480,0
4.819850000,1
4.820014080,0
4.820418680,1
4.823872240,0
4.825957040,1
4.826112960,0
4.826137400,1
4.826296560,0
4.826321720,1
4.826480120,0
4.826505200,1
4.826663680,0
4.827069600,1
4.827376600,0
4.827444840,1
4.830386320,0
4.832136360,1
4.832354040,0
4.832369200,1
4.832586760,0
4.832601840,1
4.832819560,0
4.832834600,1
4.833052240,0
4.833062000,1
4.833237560,0
4.833245080,1
4.833421120,0
4.833428640,1
4.833604760,0
4.833612200,1
4.833788320,0
4.834192760,1
4.834340640,0
4.834345240,1
4.834493760,0
4.834567360,1
4.837502360,0
4.839722520,1
4.839885240,0
4.839905800,1
4.840068840,0
4.840089440,1
4.840252400,0
4.840273080,1
4.840435960,0
4.840843440,1
4.840987840,0
4.840995680,1
4.841141040,0
4.841217480,1
4.844149200,0
5.069274560,1
5.069445720,0
5.069459000,1
5.069629320,0
5.069642680,1
5.069812920,0
5.069826280,1
5.069996480,0
5.070400360,1
5.073861440,0
5.075927080,1
5.076095240,0
5.076110960,1
5.076278840,0
5.076294560,1
5.076462400,0
5.076478200,1
5.076646000,0
5.077050920,1
5.077361680,0
5.077426440,1
5.080371800,0
5.082113560,1
5.082336480,0
5.082347280,1
5.082569280,0
5.082579960,1
5.082802000,0
5.082812800,1
5.083034760,0
5.083042480,1
5.083770760,0
5.084174680,1
5.084321360,0
5.084327080,1
5.084474520,0
5.084549160,1
5.087482960,0
5.089700600,1
5.089867160,0
5.089884240,1
5.090050720,0
5.090067960,1
5.090234320,0
5.090251600,1
5.090417920,0
5.090825120,1
5.090969600,0
5.090977400,1
5.091122760,0
5.091199160,1
5.094130880,0
5.318338600,1
5.318544720,0
5.318568320,1
5.318777480,0
5.318801640,1
5.319010240,0
5.319033720,1
5.319242960,0
5.319254880,1
5.319428320,0
5.319437760,1
5.319611920,0
5.319621360,1
5.319795480,0
5.319804920,1
5.319979080,0
5.320382040,1
5.323848440,0
5.325904640,1
5.326077600,0
5.326089480,1
5.326261200,0
5.326273080,1
5.326444760,0
5.326456640,1
5.326628360,0
5.327032560,1
5.327343480,0
5.327408120,1
5.330353760,0
5.330881080,1
5.331139520,0
5.331174960,1
5.331454280,0
5.331490400,1
5.331769000,0
5.331804520,1
5.332083720,0
5.332095240,1
5.332318840,0
5.332327240,1
5.332551600,0
5.332560080,1
5.332784360,0
5.332792800,1
5.333017080,0
5.333023360,1
5.333753080,0
5.334156480,1
5.334302800,0
5.334308880,1
5.334455920,0
5.334530880,1
5.337464240,0
5.339678600,1
5.339849320,0
5.339863080,1
5.340032880,0
5.340046600,1
5.340216480,0
5.340230120,1
5.340400040,0
5.340806760,1
5.340951400,0
5.340959040,1
5.341104600,0
5.341180840,1
5.344112720,0
5.568311320,1
5.568526880,0
5.568543520,1
5.568759680,0
5.568776400,1
5.568992400,0
5.569009040,1
5.569225160,0
5.569235520,1
5.569410440,0
5.569418520,1
5.569594000,0
5.569602080,1
5.569777600,0
5.569785680,1
5.569961160,0
5.570363760,1
5.573845400,0
5.574956640,1
5.575177480,0
5.575189640,1
5.575410240,0
5.575421960,1
5.575642920,0
5.575655360,1
5.575875640,0
5.575884240,1
5.576611680,0
5.577016800,1
5.577160080,0
5.577169080,1
5.577313240,0
5.577390640,1
5.580321280,0
5.580823840,1
5.581122760,0
5.581134400,1
5.581437480,0
5.581449160,1
5.581752240,0
5.581763960,1
5.582066960,0
5.582074640,1
5.583736200,0
5.584138840,1
5.584282680,0
5.584291120,1
5.584435840,0
5.584512800,1
5.587443840,0
5.589657560,1
5.589831520,0
5.589842520,1
5.590015120,0
5.590026120,1
5.590198720,0
5.590209640,1
5.590382280,0
5.590788600,1
5.590932840,0
5.590940840,1
5.591086120,0
5.591162600,1
5.594094000,0
5.818289800,1
5.818509000,0
5.818523000,1
5.818741760,0
5.818755480,1
5.818974520,0
5.818988560,1
5.819207280,0
5.819216600,1
5.819392560,0
5.819399640,1
5.819576120,0
5.819583280,1
5.819759680,0
5.819766800,1
5.819943280,0
5.820345520,1
5.823826920,0
5.824938480,1
5.825159120,0
5.825171640,1
5.825391880,0
5.825404440,1
5.825624600,0
5.825637200,1
5.825857360,0
5.825866080,1
5.826593400,0
5.826997880,1
5.827143240,0
5.827150240,1
5.827296400,0
5.827372160,1
5.830305200,0
5.830807120,1
5.831104400,0
5.831116480,1
5.831419160,0
5.831431200,1
5.831733880,0
5.831746080,1
5.832048600,0
5.832056520,1
5.833717880,0
5.834120520,1
5.834264600,0
5.834272800,1
5.834417760,0
5.834494520,1
5.837425880,0
5.839639720,1
5.839813240,0
5.839824560,1
5.839996760,0
5.840008160,1
5.840180360,0
5.840191720,1
5.840363920,0
5.840770320,1
5.840914720,0
5.840922560,1
5.841067920,0
5.841144360,1
5.844075800,0
6.068270800,1
6.068490960,0
6.068504000,1
6.068723720,0
6.068736680,1
6.068956480,0
6.068969400,1
6.069189240,0
6.069198080,1
6.069374640,0
6.069381240,1
6.069558360,0
6.069564920,1
6.069741960,0
6.069748520,1
6.069925280,0
6.070327320,1
6.073807760,0
6.074920560,1
6.075140880,0
6.075153800,1
6.075373640,0
6.075386600,1
6.075606320,0
6.075619400,1
6.075839120,0
6.075847960,1
6.076575160,0
6.076978200,1
6.077284560,0
6.077353480,1
6.080294920,0
6.080788880,1
6.081086200,0
6.081098280,1
6.081400920,0
6.081413120,1
6.081715680,0
6.081727920,1
6.082030400,0
6.082038240,1
6.083699680,0
6.084102200,1
6.084246680,0
6.084254520,1
6.084399880,0
6.084476280,1
6.087408040,0
6.089621640,1
6.089795000,0
6.089806520,1
6.089978560,0
6.089990120,1
6.090162120,0
6.090173720,1
6.090345720,0
6.090752240,1
6.090896120,0
6.090904480,1
6.091049280,0
6.091126200,1
6.094057440,0
6.318251200,1
6.318473040,0
6.318484840,1
6.318705800,0
6.318717520,1
6.318938480,0
6.318950320,1
6.319171280,0
6.319179600,1
6.319907320,0
6.320309120,1
6.323785280,0
6.324904840,1
6.325122320,0
6.325137640,1
6.325355080,0
6.325369800,1
6.325587840,0
6.325602680,1
6.325820560,0
6.325830440,1
6.326005920,0
6.326013480,1
6.326189480,0
6.326197000,1
6.326373040,0
6.326380600,1
6.326556640,0
6.326959640,1
6.327270480,0
6.327335160,1
6.330280760,0
6.330772040,1
6.331067800,0
6.331081080,1
6.331382560,0
6.331395760,1
6.331697280,0
6.331710600,1
6.332012040,0
6.332020360,1
6.333681280,0
6.334083800,1
6.334229040,0
6.334236160,1
6.334382200,0
6.334458040,1
6.337390440,0
6.339603640,1
6.339776760,0
6.339788480,1
6.339960320,0
6.339972040,1
6.340143880,0
6.340155680,1
6.340327480,0
6.340733960,1
6.340878200,0
6.340886240,1
6.341031360,0
6.341107960,1
6.344039440,0
6.568240840,1
6.568453880,0
6.568472880,1
6.568686640,0
6.568705480,1
6.568919360,0
6.568938240,1
6.569152120,0
6.569162920,1
6.569337440,0
6.569346000,1
6.569521040,0
6.569529640,1
6.569704600,0
6.569713240,1
6.569888240,0
6.570290920,1
6.573762200,0
6.574894760,1
6.575103520,0
6.575126320,1
6.575336320,0
6.575358280,1
6.575569040,0
6.575591040,1
6.575801840,0
6.575813360,1
6.575987160,0
6.575996400,1
6.576170720,0
6.576179920,1
6.576354320,0
6.576363520,1
6.576537880,0
6.576942080,1
6.577246800,0
6.577317160,1
6.580255880,0
6.580759920,1
6.581049120,0
6.581066120,1
6.581363840,0
6.581380920,1
6.581678560,0
6.581695680,1
6.581993320,0
6.582002920,1
6.582228360,0
6.582235200,1
6.582461040,0
6.582467840,1
6.582693880,0
6.582700720,1
6.582926560,0
6.582931720,1
6.583662600,0
6.584065240,1
6.584211880,0
6.584217640,1
6.584365080,0
6.584439720,1
6.587373520,0
6.589584600,1
6.589758760,0
6.589769600,1
6.589942320,0
6.589953200,1
6.590125920,0
6.590136840,1
6.590309480,0
6.590715320,1
6.590861000,0
6.590867680,1
6.591014160,0
6.591089640,1
6.594022440,0
6.818221440,1
6.818435800,0
6.818453160,1
6.818668560,0
6.818686400,1
6.818901280,0
6.818918520,1
6.819134120,0
6.819144520,1
6.819319360,0
6.819327720,1
6.819502920,0
6.819511120,1
6.819686520,0
6.819694880,1
6.819870080,0
6.820272720,1
6.823744080,0
6.824876280,1
6.825085440,0
6.825106840,1
6.825318160,0
6.825340000,1
6.825550920,0
6.825572040,1
6.825783640,0
6.825795120,1
6.825969000,0
6.825978040,1
6.826152560,0
6.826161600,1
6.826336120,0
6.826345240,1
6.826519720,0
6.826923800,1
6.827229040,0
6.827298960,1
6.830238440,0
6.830740760,1
6.831030960,0
6.831047720,1
6.831345720,0
6.831362480,1
6.831660440,0
6.831677200,1
6.831975200,0
